,news_id,title,abstract,category
0,N49186,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way","There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits.",weather
4,N50643,"A little snow causes a big mess, more than 100 crashes on Minnesota roads","A snowfall of a mere one-tenth of an inch caused way more than its share of damaged cars and rattled drivers early Saturday, with 118 crashes reported between 6 a.m. and 11:30 a.m., according to the Minnesota State Patrol. Another 22 vehicles spun out or slid off the slick roads, said State Patrol spokesman Lt. Gordon Shank. No weather-related fatalities were reported. Although 18 people were ...",weather
9,N60852,In Photos: Flooding across the globe,Millions of people have been displaced from their homes after torrential rains triggered floods and landslides across the globe.,weather
17,N25174,"Winter Storm Warning For Metro Denver, Boulder: Update",,weather
28,N37423,"Suez says lead levels meet federal standards, but only when you round down",Suez said Friday lead levels now meets the federal standard of 15 parts per billion. Test results sent to regulators show lead readings at 15.4.,weather
37,N33161,"Home destroyed, but dishes left intact: Neighborhood hit hard by Dallas tornado one of the city's most exclusive",Some of the homes hardest hit by Sunday night's tornado are in the most exclusive neighborhoods in Dallas.,weather
47,N59271,"Large tree falls, blocks at least two roads during morning commute","Update at 8 a.m.: Power has been restored to the Cross Mill area. Carson Street is still closed. Sign up for our Newsletters Previous story: A large tree fell early Wednesday, causing power outages and blocking at least two roads in McDowell County, North Carolina. Carson Street in Marion is closed from W. Cross Street to Blue Ridge Street until further notice. Murray Street is blocked off to drivers because the tree knocked down power lines,...",weather
49,N21243,Maria Fire broke out minutes after utility company re-energized high-voltage power line,Southern California Edison says it turned power back on minutes before the Maria Fire erupted nearby in Ventura County,weather
51,N12638,Rains bring floods to parts of Western Washington,"Flooded rivers are causing problems across parts of Western Washington, and flooding is expected to continue in some low-lying areas into Wednesday. The National Weather Service's Seattle office said heavy rains this week had tapered off and most of the area's rivers crested Tuesday and receded below flood stage.",weather
60,N54624,Kincade Fire: Latest on the Sonoma County Wildfires,Residents of the Northern California county were forced to evacuate as the rapidly burning Kincade Fire fanned southwards,weather
71,N21491,How climate change primed California's power shutdown,"Dry seasons are intensifying, increasing fire risk. A power utility is hedging against fires by cutting off electricity to more than half a million.",weather
72,N61119,"4Warn Forecast: Showers moving out, chilly for the Cardinals game tonight!",This Afternoon: 40s. Rain moving east and ending early. Breezy and chilly. The temperature will hover in the upper mid-40s. Wind: WNW 15-25 mph This Evening: Low 40s. Clearing skies and chilly! Wind: W 8-12 mph Tonight: 38. Clear skies. Near freezing in outlying areas. There should be enough wind in most areas to prevent frost. Wind: W 5-8 mph Saturday: 62. Sunny. Normal high is 70. Wind: SW 10-15 mph Sunday: Low 45/High 67. A chilly start then...,weather
76,N26401,Powerful nor'easter brings heavy rain to New York area,,weather
81,N33764,Tick fire explodes overnight; 6 homes destroyed as battle intensifies,"Fanned by strong Santa Ana winds, the Tick fire continued its destructive path through Santa Clarita early Friday, jumping the 14 Freeway and sending residents fleeing from neighborhoods as it consumed dry grass, brush and set homes ablaze.",weather
89,N44228,"New York Weather: Winter Expected To Be Warmer & Wetter Than Normal, NOAA Says","Is it going to be a white Christmas? Maybe not, according to new forecasts by the National Oceanic and Atmospheric Administration.",weather
99,N59872,"Fire In Moffat Destroys 3 Homes, Building",Investigators in the town of Moffat in the San Luis Valley are trying to figure out what started a fire on Tuesday afternoon that wound up destroying an entire city block.,weather
103,N54907,"Nearly 50,000 ordered to evacuate Los Angeles-area homes as Tick Fire picks up speed, jumps freeway","Nearly 50,000 people near Los Angeles are evacuating due to the Tick Fire; meanwhile in northern California, the Kincade Fire has grown to 25 miles.",weather
106,N14358,"South-central US to face nighttime severe storms, isolated tornadoes at end of weekend","Severe thunderstorms with the potential for isolated tornadoes will threaten the south-central United States after dark on Sunday. The necessary ingredients for thunderstorm development are not expected to come together until Sunday evening, leaving the afternoon hours dry, sunny and very warm across the region. However, weather conditions are predicted to change rapidly after sunset.",weather
109,N8928,U.S. cities with the cleanest air,"The U.S. Environmental Protection Agency collects data on the air quality in American cities every year, and it turns out, residents in some places breathe easier than those living in other parts of the U.S. Stacker analyzed EPA's 2018 Outdoor Air Quality Data to bring readers this gallery featuring the top 50 U.S. cities with the cleanest air.",weather
110,N13104,"Denver Weather: Second Storm Hits Sooner Than Expected With More Snow, Record Cold",Snow has returned to the Front Range on Tuesday and will continue through the evening commute. Meanwhile temperatures remain in the deep freeze.,weather
112,N9432,Rain tapers off ... but another round is on the way,Soaking rain and a big drop in temperatures arrives.,weather
115,N60963,Tropical depression 17 forms in the Gulf of Mexico,A tropical depression has formed in the Gulf of Mexico.,weather
129,N54146,Tropical Storm Melissa forms off northeast; will weaken,"MIAMI (AP)   A late-season tropical storm has formed off the coast of Massachusetts but is expected to weaken as it moves away from the U.S. The Hurricane Center in Miami says Tropical Storm Melissa poses minor to moderate coastal flooding at high tide along some portions of the Mid-Atlantic and southeastern coasts throughout the weekend. On Saturday afternoon, Melissa had maximum sustained winds of 50 mph (80 kph), with higher gusts, and was...",weather
134,N48349,California fires are raging: Get the facts on wildfires,"As seasonal winds drive flames across the state, here's what you need to know about how these fires start and how they're put out.",weather
135,N49276,"Powerful storm sweeps across northern U.S. plains bringing snow, high winds",Eyewitness video captures a snowstorm whipping through North Dakota. Video credit: Jordan Gackle,weather
145,N41517,A tropical cyclone could form in the Gulf of Mexico this week,A disorganized area of storms along the Mexican coast may develop into a tropical cyclone later this week.,weather
146,N31926,"Maryland Winter Forecast: Mild But Wet, Government Predicts","The National Oceanic and Atmospheric Administration released its winter forecast, and it calls for less-than-frigid temperatures.",weather
147,N36571,Wealthy landowner provides critical base for firefighting,"LOS ANGELES   Perched atop the Santa Monica Mountains, there's a prime chunk of real estate with stunning ocean views that's owned by a wealthy former radio executive. You won't find a palatial mansion or an infinity pool there, however. Instead, the former executive and county firefighters have transformed the picturesque property into a remote base for helicopters to refill their water tanks   a spot that's helping prevent small fires from...",weather
148,N43091,Pablo weakens to a tropical storm over far North Atlantic,"MIAMI (AP)   Pablo has weakened to a tropical storm as it moves over the far north Atlantic Ocean. The U.S. National Hurricane Center said the storm was located late Sunday about 710 miles (1,145 kilometer) northeast of the Azores. Its top sustained winds have now dropped to about 70 mph (110 kph). The storm is moving to the north at 14 mph (22 kph). There are no coastal warnings or watches in effect. Forecasters say the storm is expected to...",weather
152,N7278,South Pole's ozone hole shrinks to smallest since discovery,"The ozone hole near the south pole this year is the smallest since it was discovered, but it is more due to freakish Antarctic weather than efforts to cut down on pollution, NASA reported . This fall, the average hole in Earth's protective ozone layer is 3.6 million square miles (9.3 million square kilometers). That's down from a peak of 10.3 million square miles (26.6 million square kilometers) in 2006. This year's hole is...",weather
155,N37096,Fall foliage 2019: Map shows where and when to expect peak autumn colors,Curious when fall foliage will appear in all its glory in your area? See the fall foliage map for 2019 that will let you know where and when to see peak autumn colors.,weather
165,N23993,Another day of above normal temperatures with a high near 90; two cold fronts on the way,"Cloudy skies and a slight chance of rain will make way for another day of warm, above normal temperatures for the Austin area Sunday will be partly sunny with a high near 90 and an overnight low around 65. A chance for rain is possible throughout the day with increased chances mainly after 1 a.m, the National Weather Service said. Remember how some of us were hoping for ""fall"" weather? It's ...",weather
168,N37890,"Large' Storm To Arrive In PA On Halloween, Forecasters Say","A storm is predicted to reach the region squarely on Halloween, just in time for trick-or-treating, multiple forecasters are now saying.",weather
169,N35329,Coldest air of the season arrives this week along with possibility for first flakes of snow.,"Winter is still well over a month away -- it begins Dec. 21, to be exact -- but a very cold air mass appears headed for the Northeast in time for the weekend. The cold air may also bring with it some snow for parts of southern New England.",weather
170,N64660,Timeline For First Dose Of Winter Weather In Eastern PA,"Ready or not, here winter comes. Here's what you can expect this week:",weather
172,N6370,"Miserable weather predicted for Halloween in Michigan: Rain, wind, maybe even snow","The Michigan trick-or-treat forecast looks awful, with a high chance of rain and perhaps snow in some areas.",weather
177,N5710,Icy roads and treacherous morning commute for Midwest,6 states this morning are under a Winter Weather Advisory for slick roads due to snow and freezing temperatures.,weather
181,N64655,Flames Border Sonoma County Highway as Kincade Fire Spreads,"Governor of California Gavin Newsom declared a statewide emergency on Sunday, October 27, as wildfires prompted new evacuations in the state. Evacuation orders were expanded in Sonoma County on Sunday as the Kincade Fire continued to spread, aided by high winds and low humidity, CalFire said. Photographer Craig Philpott said he captured this video as he traveled home on Highway 128 in Sonoma County in the early hours of Sunday morning. The video shows flames and fallen trees at the roadside, as well as smoke engulfing the route at one point. Philpott said he was forced to turn around and take an alternative route home. Credit: Craig Philpott via Storyful",weather
182,N28469,"Oregon comes to California's aid in fighting hotter fires: 'When help is needed, help will come'","As California's fire season grows longer and hotter, more and more out-of-state firefighters   and sometimes out-of-country firefighters   head West.",weather
186,N17716,"Canyon Country Fire Hops Freeway, Forcing Thousands To Flee",The wind driven Canyon Country Fire burned thousands of acres within hours as the latest monster wildfire to threaten Southern California.,weather
192,N34624,Gulf of Mexico bears watching for tropical development late this week,"With Tropical Depression 15 expected to become Tropical Storm Nestor in the eastern Atlantic Ocean by midweek, another area of disturbed weather set to move into the southwestern Gulf of Mexico bears watching for development late this week.",weather
193,N43421,"HOUSTON WEATHER: Chilly weekend ahead, stormy next week",,weather
198,N52031,"You'll see plenty of sunshine today, but grab a winter coat if you go outside","Bundle up this morning! It's quiet and dry, but we're off to another chilly start across north Georgia.",weather
212,N14811,Baseball themed forecast: strong storms Monday will lead to homerun weather mid week,Mother Nature is about to throw us a series of curve balls that will lead to one-two-three strikes of lightning as strong storms rumble through Monday morning and again on Friday morning.,weather
215,N4072,"Cold blast hits East and Central US, Santa Ana winds forecast to recede in California",A powerful storm that brought wind gusts above 60 mph to much of the Northeast -- as well as flash flooding to parts of New York -- is officially out of the region.,weather
218,N44132,Weather forecast in Cincinnati,What's the weather today? What's the weather for the week? Here's your forecast.,weather
223,N55648,The Water No Longer Flows': Cracked Riverbed Shows Extent of Drought in NSW,"Severely cracked soil and a dried up riverbed is all that's left of Moree's Mehi River in drought-affected northern New South Wales, according to a video posted to Instagram by a local. In a post Moree local Kat (@the_freckled_kat) said ""The drought goes on…the cracks in the riverbed are wider than my work boots, the dust is now a constant companion and the water no longer flows. We aren't even in the worst affected area."" A comparison photo posted to Instagram by Kat shows the river at the same spot in May 2018. The Department of Primary Industries has declared the entire Moree Plains area of New South Wales to be in intense drought. The drought affecting New South Wales and Queensland has forced new announcements of funding from politicians, including a $1 billion investment into dam infrastructure by the NSW Government and a $100 million package by the federal government in September. The Bureau of Meteorology expects this year's warm and dry trend for the eastern states to continue for the remainder of 2019. Credit: @the_freckled_kat via Storyful",weather
232,N63972,Utility says power lines may have started 2 California fires,"Pacific Gas & Electric Co. power lines may have started two wildfires over the weekend in the San Francisco Bay Area, the utility said Monday, even though widespread blackouts were in place to prevent downed lines from starting fires during dangerously windy weather.",weather
